/*
    A DCL_runDF13Clamp example with the 
    following controller parameters: 
    .a1 = 0.0341879720f,
    .a2 = -0.7668017816f,
    .a3 = -0.2673861903f,
    .b0 = 1.3436620732f,
    .b1 = 0.3459370813f,
    .b2 = -0.7200660800f,
    .b3 = -0.2790608258f,
    (Clamp) Umax = 2.0f, Umin = -2.0f
*/
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.134366,
0.164366,
0.194038,
0.223637,
0.253162,
0.282287,
0.311592,
0.340169,
0.368853,
0.397064,
0.425054,
0.452825,
0.480048,
0.506978,
0.533943,
0.560032,
0.586083,
0.611841,
0.636979,
0.661749,
0.686482,
0.710594,
0.734340,
0.757391,
0.780331,
0.802904,
0.824784,
0.846552,
0.867626,
0.888588,
0.908856,
0.929013,
0.948475,
0.967498,
0.986410,
1.004627,
1.022405,
1.040071,
1.057043,
1.073576,
1.089997,
1.105724,
1.121012,
1.136188,
1.150670,
1.165041,
1.178717,
1.192282,
1.205480,
1.217985,
1.230378,
1.242405,
1.254065,
1.265360,
1.276288,
1.286850,
1.297045,
1.306875,
1.316666,
1.325837,
1.334641,
1.343407,
1.351552,
1.359658,
1.367472,
1.374993,
1.382221,
1.389156,
1.395798,
1.402147,
1.408203,
1.414294,
1.419837,
1.425088,
1.430373,
1.435439,
1.439957,
1.444510,
1.448843,
1.452956,
1.456850,
1.460524,
1.464307,
1.467615,
1.470703,
1.473899,
1.476621,
1.479451,
1.482135,
1.484344,
1.486662,
1.488833,
1.490858,
1.492736,
1.494467,
1.496052,
1.497819,
1.499184,
1.500403,
1.501804,
1.502803,
1.503984,
1.504763,
1.505724,
1.506612,
1.507099,
1.507766,
1.508361,
1.508883,
1.509331,
1.509706,
1.510008,
1.510237,
1.510392,
1.510802,
1.510884,
1.510893,
1.511157,
1.511093,
1.510955,
1.511072,
1.510861,
1.510905,
1.510621,
1.510592,
1.510234,
1.510132,
1.510029,
1.509927,
1.509496,
1.509320,
1.509145,
1.508969,
1.508465,
1.508216,
1.507967,
1.507718,
1.507469,
1.507220,
1.506971,
1.506722,
1.506473,
1.505896,
1.505574,
1.505251,
1.504929,
1.504607,
1.504285,
1.504290,
1.504041,
1.503792,
1.503543,
1.503294,
1.503045,
1.502796,
1.502547,
1.502298,
1.502049,
1.501800,
1.501551,
1.501302,
1.501053,
1.500804,
1.500883,
1.500707,
1.500532,
1.500356,
1.500180,
1.500004,
1.499828,
1.499653,
1.499477,
1.499301,
1.499125,
1.498950,
1.498774,
1.498598,
1.498422,
1.498246,
1.498399,
1.498296,
1.498193,
1.498091,
1.497988,
1.497886,
1.497783,
1.497680,
1.497578,
1.497475,
1.497373,
1.496942,
1.496767,
1.496591,
1.496415,
1.496239,
1.496063,
1.495888,
1.495712,
1.495536,
1.495360,
1.495184,
1.495008,
1.494833,
1.494329,
1.494080,
1.493831,
1.493582,
1.493333,
1.493084,
1.492835,
1.492586,
1.492009,
1.491687,
1.491364,
1.491042,
1.490720,
1.490069,
1.489674,
1.489278,
1.488883,
1.488487,
1.487764,
1.487295,
1.486826,
1.486358,
1.485889,
1.485092,
1.484550,
1.484008,
1.483466,
1.482596,
1.481981,
1.481365,
1.480750,
1.479807,
1.479119,
1.478430,
1.477742,
1.476725,
1.475963,
1.475202,
1.474440,
1.473350,
1.472515,
1.471680,
1.470845,
1.469682,
1.468774,
1.467866,
1.466958,
1.465722,
1.464740,
1.463759,
1.462449,
1.461395,
1.460340,
1.459285,
1.457902,
1.456774,
1.455647,
1.454519,
1.453063,
1.451861,
1.450660,
1.449459,
1.447930,
1.446655,
1.445381,
1.444106,
1.442504,
1.441156,
1.439809,
1.438461,
1.436785,
1.435365,
1.433944,
1.432523,
1.430774,
1.429280,
1.427786,
1.426292,
1.424469,
1.422902,
1.421335,
1.419767,
1.418200,
1.416304,
1.414664,
1.413023,
1.411383,
1.409742,
1.407773,
1.406059,
1.404346,
1.402631,
1.400918,
1.399204,
1.397162,
1.395375,
1.393588,
1.391801,
1.390013,
1.388226,
1.386439,
1.384324,
1.382464,
1.380603,
1.378743,
1.376883,
1.375022,
1.373162,
1.370973,
1.369040,
1.367106,
1.365173,
1.363239,
1.361305,
1.359372,
1.357438,
1.355505,
1.353571,
1.351310,
1.349303,
1.347296,
1.345289,
1.343282,
1.341275,
1.339269,
1.337262,
1.335255,
1.333248,
1.331241,
1.329234,
1.327228,
1.325221,
1.323214,
1.321207,
1.318872,
1.316792,
1.314712,
1.312632,
1.310552,
1.308472,
1.306392,
1.304312,
1.302231,
1.300151,
1.298071,
1.295991,
1.293911,
1.291831,
1.289751,
1.287671,
1.285591,
1.283511,
1.281431,
1.279351,
1.277271,
1.275190,
1.273110,
1.271030,
1.268950,
1.266870,
1.264790,
1.262710,
1.260630,
1.258878,
1.256871,
1.254864,
1.252857,
1.250850,
1.248844,
1.246837,
1.244830,
1.242823,
1.240816,
1.238809,
1.236803,
1.234796,
1.232789,
1.230782,
1.228775,
1.226768,
1.224762,
1.222755,
1.220748,
1.218741,
1.216734,
1.215055,
1.213122,
1.211188,
1.209255,
1.207321,
1.205387,
1.203454,
1.201520,
1.199587,
1.197653,
1.195719,
1.193786,
1.191852,
1.189919,
1.187985,
1.186380,
1.184519,
1.182659,
1.180799,
1.178938,
1.177078,
1.175218,
1.173357,
1.171497,
1.169636,
1.167776,
1.165916,
1.164055,
1.162195,
1.160663,
1.158875,
1.157089,
1.155301,
1.153514,
1.151727,
1.149940,
1.148153,
1.146366,
1.144579,
1.142792,
1.141004,
1.139217,
1.137758,
1.136044,
1.134331,
1.132617,
1.130903,
1.129189,
1.127475,
1.125761,
1.124047,
1.122333,
1.120619,
1.118906,
1.117520,
1.115879,
1.114239,
1.112598,
1.110957,
1.109316,
1.107676,
1.106035,
1.104394,
1.102754,
1.101113,
1.099473,
1.098160,
1.096593,
1.095025,
1.093458,
1.091890,
1.090323,
1.088756,
1.087188,
1.085621,
1.084054,
1.082486,
1.080919,
1.079679,
1.078185,
1.076691,
1.075197,
1.073703,
1.072209,
1.070715,
1.069221,
1.067726,
1.066232,
1.064738,
1.063572,
1.062151,
1.060730,
1.059309,
1.057889,
1.056468,
1.055047,
1.053626,
1.052205,
1.050784,
1.049363,
1.047943,
1.046850,
1.045502,
1.044154,
1.042807,
1.041459,
1.040111,
1.038764,
1.037416,
1.036068,
1.034721,
1.033373,
1.032025,
1.031006,
1.029731,
1.028457,
1.027183,
1.025908,
1.024634,
1.023359,
1.022085,
1.020811,
1.019536,
1.018262,
1.016987,
1.016041,
1.014840,
1.013638,
1.012437,
1.011236,
1.010035,
1.008834,
1.007633,
1.006431,
1.005230,
1.004029,
1.002828,
1.001627,
1.000754,
0.999626,
0.998498,
0.997370,
0.996242,
0.995114,
0.993986,
0.992858,
0.991730,
0.990602,
0.989474,
0.988346,
0.987547,
0.986492,
0.985437,
0.984383,
0.983328,
0.982273,
0.981218,
0.980164,
0.979109,
0.978054,
0.977000,
0.975945,
0.974890,
0.974164,
0.973182,
0.972201,
0.971219,
0.970238,
0.969256,
0.968275,
0.967294,
0.966312,
0.965331,
0.964349,
0.963368,
0.962386,
0.961733,
0.960825,
0.959916,
0.959008,
0.958100,
0.957192,
0.956284,
0.955375,
0.954467,
0.953559,
0.952651,
0.951743,
0.950834,
0.950254,
0.949419,
0.948584,
0.947749,
0.946914,
0.946080,
0.945245,
0.944410,
0.943575,
0.942740,
0.941905,
0.941070,
0.940235,
0.939400,
0.938893,
0.938131,
0.937370,
0.936608,
0.935846,
0.935084,
0.934323,
0.933561,
0.932799,
0.932037,
0.931276,
0.930514,
0.929752,
0.928991,
0.928557,
0.927868,
0.927180,
0.926492,
0.925803,
0.925115,
0.924426,
0.923738,
0.923049,
0.922361,
0.921672,
0.920984,
0.920295,
0.919607,
0.918918,
0.918558,
0.917943,
0.917327,
0.916712,
0.916097,
0.915482,
0.914866,
0.914251,
0.913636,
0.913021,
0.912405,
0.911790,
0.911175,
0.910560,
0.909944,
0.909329,
0.909042,
0.908500,
0.907958,
0.773050,
0.742508,
0.712294,
0.682153,
0.652086,
0.622420,
0.592900,
0.563527,
0.534300,
0.505548,
0.477015,
0.449030,
0.421011,
0.393539,
0.366360,
0.339474,
0.312880,
0.286908,
0.261303,
0.235735,
0.210788,
0.186208,
0.161993,
0.138473,
0.115065,
0.092022,
0.069674,
0.047437,
0.025895,
0.004464,
-0.016273,
-0.036570,
-0.056428,
-0.076175,
-0.095227,
-0.113840,
-0.132341,
-0.150148,
-0.167516,
-0.184444,
-0.201261,
-0.217384,
-0.233067,
-0.248638,
-0.263516,
-0.278282,
-0.292354,
-0.306314,
-0.319580,
-0.332735,
-0.345523,
-0.357618,
-0.369600,
-0.381217,
-0.392467,
-0.403352,
-0.413870,
-0.424349,
-0.434208,
-0.443701,
-0.453155,
-0.461989,
-0.470784,
-0.478958,
-0.487094,
-0.494937,
-0.502488,
-0.509745,
-0.516709,
-0.523380,
-0.529758,
-0.535844,
-0.541964,
-0.547537,
-0.553144,
-0.558204,
-0.563299,
-0.568174,
-0.572830,
-0.577266,
-0.581482,
-0.585478,
-0.589255,
-0.592812,
-0.596149,
-0.599594,
-0.602565,
-0.605645,
-0.608577,
-0.611036,
-0.613602,
-0.616022,
-0.618296,
-0.620423,
-0.622404,
-0.624238,
-0.625925,
-0.627467,
-0.629189,
-0.630511,
-0.632014,
-0.633115,
-0.634399,
-0.635281,
-0.636344,
-0.637335,
-0.638252,
-0.638767,
-0.639465,
-0.640089,
-0.640640,
-0.641117,
-0.641522,
-0.642181,
-0.642512,
-0.642770,
-0.642955,
-0.643394,
-0.643505,
-0.643544,
-0.643837,
-0.643802,
-0.644021,
-0.643913,
-0.644059,
-0.643878,
-0.643951,
-0.644024,
-0.643770,
-0.643770,
-0.643770,
-0.643442,
-0.643368,
-0.643295,
-0.643222,
-0.643149,
-0.642747,
-0.642601,
-0.642454,
-0.642308,
-0.642161,
-0.642015,
-0.641868,
-0.641722,
-0.641576,
-0.641429,
-0.641283,
-0.641136,
-0.640990,
-0.640843,
-0.640697,
-0.640550,
-0.640404,
-0.640257,
-0.640111,
-0.639964,
-0.639818,
-0.639671,
-0.639525,
-0.639378,
-0.639232,
-0.639085,
-0.638939,
-0.638792,
-0.638646,
-0.638499,
-0.638681,
-0.638608,
-0.638535,
-0.638461,
-0.638388,
-0.638315,
-0.638242,
-0.638168,
-0.638095,
-0.638022,
-0.637949,
-0.637875,
-0.637802,
-0.637729,
-0.637656,
-0.637583,
-0.637509,
-0.637436,
-0.637363,
-0.637290,
-0.637216,
-0.637143,
-0.637070,
-0.636997,
-0.636923,
-0.636850,
-0.636777,
-0.636704,
-0.636630,
-0.636229,
-0.636083,
-0.635936,
-0.635790,
-0.635643,
-0.635497,
-0.635350,
-0.635204,
-0.635057,
-0.634583,
-0.634363,
-0.634143,
-0.633924,
-0.633704,
-0.633484,
-0.632936,
-0.632643,
-0.632350,
-0.632057,
-0.631764,
-0.631471,
-0.630850,
