/*
    A DCL_runDF22Clamp example with the 
    following controller parameters: 
    .a1 = -1.963056f,
    .a2 = 0.963033f,
    .b0 = 0.981517f,
    .b1 = -1.957456f,
    .b2 = 0.981516f,
    (Clamp) Umax = 0.5f, Umin = -0.5f
*/
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.098152,
0.095083,
0.092449,
0.090470,
0.089121,
0.088139,
0.087985,
0.087909,
0.088623,
0.089616,
0.091113,
0.093091,
0.095289,
0.097933,
0.101240,
0.104464,
0.108320,
0.112538,
0.116862,
0.121519,
0.126731,
0.131992,
0.137534,
0.143099,
0.149158,
0.155447,
0.161711,
0.168422,
0.175077,
0.182150,
0.189140,
0.196520,
0.203791,
0.211187,
0.218937,
0.226542,
0.234237,
0.242252,
0.250088,
0.257985,
0.266170,
0.274149,
0.282160,
0.290434,
0.298474,
0.306761,
0.314800,
0.323072,
0.331321,
0.339302,
0.347496,
0.355649,
0.363757,
0.371813,
0.379814,
0.387755,
0.395631,
0.403438,
0.411412,
0.419061,
0.426632,
0.434360,
0.441754,
0.449300,
0.456747,
0.464093,
0.471337,
0.478478,
0.485513,
0.492442,
0.499263,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.499745,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.499832,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.499974,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
0.500000,
