/*
    A DCL_runPIDParallel example with the 
    following controller parameters: 
    .Kp  = 0.1693591151f,
    .Ki  = 0.0075683544f,
    .Kd  = 0.0252412200f,
    .Kr  = 1.0f,
    .Umax = 0.5f,
    .Umin = -0.5f,
    (Used to calculate parameters c1, c2):
    Sampling period (ccs->T) = 1/500s
    Filter bandwidth = 45hz
*/
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
0.000000,
2.540224,
1.702226,
1.238766,
0.984873,
0.848303,
0.777477,
0.743554,
0.730408,
0.508094,
0.059082,
0.009683,
-0.297749,
-0.390468,
-0.506586,
-0.623105,
-0.744997,
-0.762618,
-0.836176,
-0.820595,
-0.649231,
-0.711923,
-0.660863,
-0.452727,
-0.364375,
-0.207761,
-0.125363,
0.040846,
0.033149,
0.275454,
0.313438,
0.378507,
0.335384,
0.457700,
0.440616,
0.473506,
0.411864,
0.301600,
0.263618,
0.255637,
0.156044,
0.006222,
0.036924,
-0.064630,
-0.225855,
-0.103751,
-0.388766,
-0.211113,
-0.260960,
-0.395019,
-0.262841,
-0.326119,
-0.250935,
-0.225678,
-0.103475,
-0.150034,
-0.056147,
-0.008713,
0.138220,
0.008226,
0.290681,
0.113268,
0.275377,
0.252663,
0.379662,
0.243422,
0.308158,
0.237131,
0.328076,
0.163555,
0.203421,
0.219170,
0.126862,
0.083243,
0.053711,
0.143277,
-0.033072,
-0.013316,
-0.022971,
-0.144491,
0.000604,
-0.051208,
0.034935,
-0.039505,
-0.078479,
-0.002257,
0.028451,
0.046229,
0.055325,
0.059740,
0.171973,
0.123269,
0.108809,
0.209841,
0.155845,
0.139225,
0.129433,
0.235526,
0.185064,
0.171325,
0.164045,
0.162010,
0.052302,
0.103683,
0.120914,
0.022768,
0.079732,
0.099405,
0.001887,
-0.052005,
0.126151,
-0.118225,
0.090790,
-0.042400,
0.118988,
-0.028390,
-0.097340,
0.069030,
0.147904,
-0.017326,
0.010824,
0.120972,
0.071221,
0.054520,
0.152784,
0.095688,
0.075733,
0.062447,
0.164929,
0.000271,
0.142157,
0.095872,
0.084323,
0.076279,
0.072005,
0.069631,
0.068343,
0.067659,
0.067312,
0.067152,
-0.043369,
0.116086,
-0.029420,
0.124576,
-0.025608,
0.015487,
0.133815,
-0.020424,
0.016547,
0.022287,
0.136708,
-0.021582,
0.123754,
0.079243,
-0.041926,
0.109804,
0.180941,
0.013471,
0.042324,
0.154853,
-0.001997,
0.144687,
0.101727,
0.092657,
-0.023814,
0.133154,
0.097374,
-0.018272,
0.137393,
0.101114,
-0.014808,
0.030265,
0.153381,
0.002386,
0.041982,
0.049980,
0.166489,
0.010199,
0.047032,
0.053478,
0.058669,
0.061369,
0.062878,
0.063699,
